rank_name,position,seat
ĐẠI BIỂU LÃNH ĐẠO BAN GIÁM ĐỐC BỆNH VIỆN UNG BƯỚU ĐÀ NẴNG,,J15
ĐẠI BIỂU TỔNG CÔNG TY ĐÔNG BẮC (BĐ19),,J17
ĐẠI BIỂU BINH ĐOÀN 18,,J19
ĐẠI BIỂU BINH ĐOÀN 16,,J21
ĐẠI BIỂU BINH ĐOÀN 15,,J23
ĐẠI BIỂU BINH ĐOÀN 12,,J25
ĐẠI BIỂU BINH ĐOÀN 11,,J27
ĐẠI BIỂU CÔNG TY THÀNH AN 96,,J29
ĐẠI BIỂU TỔNG CÔNG TY 319,,J31
ĐẠI BIỂU BAN PHỤ NỮ QUÂN ĐỘI,,J2
ĐẠI BIỂU BAN CÔNG  ĐOÀN QUỐC PHÒNG,,J4
ĐẠI BIỂU TRƯỜNG SỸ QUAN THÔNG TIN,,J6
ĐẠI BIỂU HỌC VIỆN KỸ THUẬT QUÂN SỰ,,J8
ĐẠI BIỂU HỌC VIỆN HẬU CẦN,,J10
ĐẠI BIỂU HỌC VIỆN QUÂN Y,,J12
ĐẠI BIỂU TRƯỜNG SỸ QUAN LỤC QUÂN 2,,J14
ĐẠI BIỂU TRƯỜNG SỸ QUAN LỤC QUÂN 1,,J16
ĐẠI TÁ NGUYỄN NGỌC BÂNG,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J18
ĐẠI TÁ NGUYỄN VĂN KHÁNH,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QUÂN KHU,J20
ĐẠI TÁ NGUYỄN VĂN TIÊN,NGUYÊN CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J22
ĐẠI TÁ TRẦN XUÂN SƠN,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QUÂN KHU,J24
ĐẠI TÁ ĐẶNG VĂN MAU,NGUYÊN PHÓ CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J26
ĐẠI TÁ NGUYỄN HOÀNH KHIẾU,NGUYÊN PHÓ CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J28
ĐẠI TÁ NGUYỄN THÀNH THIỆN,NGUYÊN PHÓ CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J30
ĐẠI TÁ NGUYỄN VĂN MINH,NGUYÊN PHÓ CHỦ NHIỆM KỸ THUẬT QUÂN KHU,J32
THƯ KÝ THỦ TRƯỞNG PHẠM HOÀI NAM,,K1
THƯ KÝ THỦ TRƯỞNG BỘ TỔNG THAM MƯU,,K3
THƯ KÝ THỦ TRƯỞNG TỔNG CỤC II,,K5
ĐẠI BIỂU LÃNH ĐẠO HỘI NHÀ BÁO ĐÀ NẴNG,,K7
ĐẠI BIỂU LÃNH ĐẠO BÁO CÔNG AN ĐÀ NẴNG,,K9
THƯ KÝ THỦ TRƯỞNG THÁI ĐẠI NGỌC,,K11
THƯ KÝ THỦ TRƯỞNG TỔNG CỤC CHÍNH TRỊ,,K13
THƯ KÝ THỦ TRƯỞNG TRƯƠNG THIÊN TÔ,,K15
ĐẠI TÁ NGUYỄN TRỌNG KHANG,CHÁNH VĂN PHÒNG BỘ TƯ LỆNH,K17
TRƯỞNG PHÒNG TUYÊN HUẤN,CỤC CHÍNH TRỊ,K19
TRƯỞNG PHÒNG BẢO VỆ AN NINH,CỤC CHÍNH TRỊ,K21
ĐẠI BIỂU BINH ĐOÀN 20,,K23
ĐẠI BIỂU BAN THANH NIÊN QUÂN ĐỘI,,K2
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 1,,K4
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 2,,K6
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 3,,K8
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 4,,K10
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 7,,K12
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU 9,,K14
THƯ KÝ BỘ TƯ LỆNH BẢO VỆ LĂNG CHỦ TỊCH HỒ CHÍ MINH,,K16
ĐẠI TÁ TRẦN ĐÌNH ĐANG,NGUYÊN CHÍNH ỦY CỤC KỸ THUẬT QUÂN KHU,K18
ĐẠI BIỂU LÃNH ĐẠO ĐẢNG ỦY PHƯỜNG CẨM LỆ,,K20
ĐẠI BIỂU LÃNH ĐẠO ĐẢNG ỦY PHƯỜNG HẢI CHÂU,,K22
ĐẠI BIỂU LÃNH ĐẠO ĐẢNG ỦY PHƯỜNG AN KHÊ,,K24
ĐẠI BIỂU LÃNH ĐẠO ĐẢNG ỦY PHƯỜNG HÒA CƯỜNG,,K26
ĐẠI BIỂU PHIÊN DỊCH VIÊN,,K30
ĐẠI BIỂU PHIÊN DỊCH VIÊN,,K32
THƯ KÝ THỦ TRƯỞNG TỔNG CỤC CNQP,,L1
THƯ KÝ THỦ TRƯỞNG TỔNG CỤC HC-KT,,L3
THƯ KÝ PHÓ THỦ TƯỚNG,,L2
THƯ KÝ PHÓ CHỦ TỊCH QUỐC HỘI,,L4
THƯ KÝ QUÂN CHỦNG PHÒNG KHÔNG KHÔNG QUÂN,,L6
THƯ KÝ QUÂN CHỦNG HẢI QUÂN,,L8
THƯ KÝ BỘ TƯ LỆNH BỘ ĐỘI BIÊN PHÒNG,,L10
THƯ KÝ BỘ TƯ LỆNH CẢNH SÁT BIỂN,,L12
THƯ KÝ BỘ TƯ LỆNH QUÂN KHU THỦ ĐÔ,,L14
THƯ KÝ BỘ TƯ LỆNH TÁC CHIẾN KHÔNG GIAN MẠNG,,L16
THƯ KÝ QUÂN KHU 1,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,L26
THƯ KÝ QUÂN KHU 4,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,L28
ĐẠI BIỂU PHIÊN DỊCH VIÊN,,L30
ĐẠI BIỂU PHIÊN DỊCH VIÊN,,L32
THƯ KÝ QUÂN ĐOÀN 34,,M14
THƯ KÝ QUÂN ĐOÀN 12,,M16
