rank_name,position,seat
THIẾU TƯỚNG CAO PHI HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C17
THIẾU TƯỚNG TRẦN NGỌC YẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C19
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C21
THIẾU TƯỚNG ĐOÀN KIỂU,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C23
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU THỦ ĐÔ,,C12
ĐẠI BIỂU ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,TRÊN ĐỊA BÀN QUÂN KHU,C14
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,"NGUYÊN PHÓ VT VIỆN KSND TỐI CAO, NGUYÊN VT VKS QSQK",C16
ĐẠI BIỂU TIỂU KHU QUÂN SỰ RATTANAKIRI,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,C18
ĐẠI BIỂU TIỂU KHU QUÂN SỰ MULĐÔKIRI,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,C20
ĐẠI BIỂU BỘ CHQS TỈNH AT TA PƯ,QUÂN ĐỘI NHÂN DÂN LÀO,C22
ĐẠI BIỂU BỘ CHQS TỈNH SÊ KÔNG,QUÂN ĐỘI NHÂN DÂN LÀO,C24
THIẾU TƯỚNG RƠ Ô CHEO,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D1
THIẾU TƯỚNG NGUYỄN QUY NHƠN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D3
THIẾU TƯỚNG ĐINH DƯƠNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D5
TRUNG TƯỚNG TIÊU VĂN MẪN,NGUYÊN PHÓ TƯ LỆNH VỀ CHÍNH TRỊ,D7
TRUNG TƯỚNG NGUYỄN THÀNH ÚT,NGUYÊN PHÓ TƯ LỆNH VỀ CHÍNH TRỊ,D9
THIẾU TƯỚNG NGUYỄN ĐÌNH TIẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,D11
TRUNG TƯỚNG TẠ NHÂN,"NGUYÊN PHÓ CN UBKT QUTW, NGUYÊN CNCT QUÂN KHU",D13
TRUNG TƯỚNG LÊ NGỌC NAM,"NGUYÊN PHÓ CN UBKT QUTW, NGUYÊN CNCT QUÂN KHU",D15
THIẾU TƯỚNG VÕ DUY CHÍN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,D17
THIẾU TƯỚNG NGUYỄN ĐỨC LIÊN,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,D19
THIẾU TƯỚNG TỐNG PHÚ,"PHÓ GIÁM ĐỐC HVLQ, NGUYÊN PHÓ TMT QUÂN KHU",D21
TRUNG TƯỚNG NGUYỄN NGỌC CẢ,NGUYÊN HIỆU TRƯỞNG TRƯỜNG SỸ QUAN LỤC QUÂN 2,D23
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 1,,D2
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 2,,D4
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 3,,D6
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 4,,D8
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 7,,D10
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU 9,,D12
ĐẠI BIỂU QUÂN ĐOÀN 12,,D14
ĐẠI BIỂU QUÂN ĐOÀN 34,,D16
ĐẠI BIỂU TIỂU KHU QUÂN SỰ STUNG TRENG,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,D18
ĐẠI BIỂU LỮ ĐOÀN CƠ ĐỘNG 128,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,D20
ĐẠI BIỂU BỘ CHQS TỈNH CHĂM PA SĂK,QUÂN ĐỘI NHÂN DÂN LÀO,D22
ĐẠI BIỂU TRƯỜNG HSQ SỐ 2 VIÊNG SAY,QUÂN ĐỘI NHÂN DÂN LÀO,D24
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH QUẢNG TRỊ,,E1
ĐẠI BIỂU ỦY BAN NHÂN DÂN THÀNH PHỐ HUẾ,,E3
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH LÂM ĐỒNG,,E5
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH KHÁNH HÒA,,E7
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH ĐĂK LĂK,,E9
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH GIA LAI,,E11
ĐẠI BIỂU ỦY BAN NHÂN DÂN TỈNH QUẢNG NGÃI,,E13
ĐẠI BIỂU ỦY BAN NHÂN DÂN THÀNH PHỐ ĐÀ NẴNG,,E15
TRUNG TƯỚNG NGUYỄN THANH TUẤN,"NGUYÊN CỤC TRƯỞNG CỤC TH, NGUYÊN CNCT QUÂN KHU",E17
THIẾU TƯỚNG VÕ VĂN HƯNG,CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E19
THIẾU TƯỚNG HÀ HUY LONG,NGUYÊN PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,E21
THIẾU TƯỚNG ĐỖ QUANG DỰ,NGUYÊN CỤC TRƯỞNG CỤC HẬU CẦN QUÂN KHU,E23
ĐẠI TÁ LÊ KIM GIÀU,PHÓ TMT QUÂN KHU,E25
ĐẠI TÁ NGUYỄN VĂN HÒA,PHÓ TMT QUÂN KHU,E27
ĐẠI TÁ VÕ VĂN BÁ,PHÓ TMT QUÂN KHU,E29
THIẾU TƯỚNG LƯU XUÂN PHƯƠNG,PHÓ TMT QUÂN KHU,E31
ĐẠI BIỂU BTL BẢO VỆ LĂNG CHỦ TỊCH HỒ CHÍ MINH,,E2
ĐẠI BIỂU CỤC TÁC CHIẾN,,E4
ĐẠI BIỂU CỤC QUÂN HUẤN NHÀ TRƯỜNG,,E6
ĐẠI BIỂU CỤC QUÂN LỰC,,E8
ĐẠI BIỂU CỤC ĐỐI NGOẠI,,E10
ĐẠI BIỂU CỤC TÀI CHÍNH BỘ QUỐC PHÒNG,,E12
ĐẠI BIỂU CỤC PHÁP CHẾ,,E14
ĐẠI BIỂU CỤC GÌN GIỮ HÒA BÌNH VIỆT NAM,,E16
ĐẠI TÁ PHẠM ĐỚI,NGUYÊN PHÓ TMT QUÂN KHU,E18
TRUNG TƯỚNG TRƯƠNG ĐỨC NGHĨA,NGUYÊN PHÓ TMT QUÂN KHU,E20
THIẾU TƯỚNG ĐẶNG LÊ NHỊ,NGUYÊN PHÓ TMT QUÂN KHU,E22
THIẾU TƯỚNG NGUYỄN NGỌC ÂN,NGUYÊN PHÓ TMT QUÂN KHU,E24
THIẾU TƯỚNG NGUYỄN NGỌC MINH,NGUYÊN PHÓ TMT QUÂN KHU,E26
ĐẠI TÁ ĐỖ TRỌNG BÌNH,NGUYÊN PHÓ TMT QUÂN KHU,E28
ĐẠI TÁ TRẦN VĂN HẠNH,NGUYÊN PHÓ TMT QUÂN KHU,E30
ĐẠI TÁ KHÚC NGỌC PHƯƠNG,NGUYÊN PHÓ TMT QUÂN KHU,E32
ĐẠI BIỂU HỌC VIỆN CHÍNH TRỊ KHU VỰC 3,,F1
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II BAN TỔ CHỨC TW,,F3
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II BAN NỘI CHÍNH TW,,F5
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II BAN TUYÊN GIÁO & DÂN VÂN TW,,F7
ĐẠI BIỂU VỤ ĐỊA BÀN V UBKT TRUNG ƯƠNG,,F9
ĐẠI BIỂU VỤ ĐỊA PHƯƠNG II VĂN PHÒNG TW ĐẢNG,,F11
ĐẠI BIỂU CỤC BẢO VỆ AN NINH QUÂN ĐỘI,,F13
ĐẠI BIỂU VĂN PHÒNG TỔNG CỤC CHÍNH TRỊ,,F15
THIẾU TƯỚNG ĐOÀN VĂN NHẤT,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F17
ĐẠI TÁ NGUYỄN THANH NAM,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F19
ĐẠI TÁ ĐỖ THANH XUÂN,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F21
ĐẠI TÁ NGUYỄN THANH XUÂN,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F23
ĐẠI TÁ TRƯƠNG QUANG SINH,PHÓ CHỦ NHIỆM UBKT ĐẢNG ỦY QUÂN KHU,F25
ĐẠI TÁ HỒ ANH TUẤN,PHÓ CHỦ NHIỆM CHÍNH TRỊ QUÂN KHU,F27
ĐẠI TÁ NGUYỄN TẤN Ý,PHÓ TMT QUÂN KHU,F29
ĐẠI TÁ LÊ TRUNG THÀNH,PHÓ TMT QUÂN KHU,F31
ĐẠI BIỂU VIỆN CHIẾN LƯỢC VÀ LỊCH SỬ QPVN,,F2
ĐẠI BIỂU QUÂN CHỦNG PHÒNG KHÔNG KHÔNG QUÂN,,F4
ĐẠI BIỂU QUÂN CHỦNG HẢI QUÂN,,F6
ĐẠI BIỂU CỤC KHQS BỘ QUỐC PHÒNG,,F8
ĐẠI BIỂU CỤC CƠ YẾU,,F10
ĐẠI BIỂU CỤC DÂN QUÂN TỰ VỆ,,F12
ĐẠI BIỂU CỤC CỨU HỘ CỨU NẠN,,F14
ĐẠI BIỂU TÒA ÁN QUÂN SỰ TRUNG ƯƠNG,,F16
